"hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","market_segment","reserved_room_type","customer_type","adr","total_of_special_requests"
"Resort Hotel",0,2,2015,"October",44,29,0,2,1,0,0,"BB","Online TA","A","Transient",35.1,1
"Resort Hotel",0,25,2015,"October",44,30,0,2,2,0,0,"BB","Online TA","A","Transient",56,0
"Resort Hotel",0,54,2015,"October",44,31,0,1,2,0,0,"BB","Online TA","A","Transient",38.81,1
"Resort Hotel",0,11,2015,"November",45,6,0,1,1,0,0,"BB","Online TA","A","Transient",44.1,1
"Resort Hotel",0,23,2016,"January",3,14,0,1,2,0,0,"BB","Direct","E","Transient",48,0
"Resort Hotel",1,44,2016,"May",19,6,2,3,2,0,0,"BB","Online TA","E","Transient",95,0
"Resort Hotel",1,54,2016,"May",20,13,0,1,2,0,0,"BB","Online TA","D","Transient",86,0
"Resort Hotel",1,46,2016,"May",22,22,1,0,1,0,0,"BB","Online TA","D","Transient",90,0
"Resort Hotel",1,18,2016,"May",22,27,0,2,2,2,0,"BB","Online TA","G","Transient",139,1
"Resort Hotel",1,18,2016,"May",22,27,0,2,2,2,0,"BB","Online TA","G","Transient",145,1
"Resort Hotel",1,34,2016,"June",23,2,0,3,1,0,0,"BB","Direct","F","Transient",145,0
"Resort Hotel",1,3,2016,"June",26,22,0,1,2,0,0,"HB","Online TA","E","Transient",171,0
"Resort Hotel",1,24,2016,"July",28,7,0,2,2,0,0,"BB","Online TA","A","Transient",171,1
"Resort Hotel",1,22,2016,"July",28,9,2,1,2,0,0,"BB","Direct","H","Transient",224,0
"Resort Hotel",1,114,2016,"July",30,21,1,3,2,2,0,"BB","Online TA","G","Transient",240,0
"Resort Hotel",1,114,2016,"July",30,21,1,3,2,0,0,"BB","Online TA","E","Transient",207,0
"Resort Hotel",1,114,2016,"July",30,21,1,3,2,0,0,"BB","Online TA","E","Transient",207,0
"Resort Hotel",1,114,2016,"July",30,21,2,3,2,2,0,"BB","Online TA","G","Transient",240,0
"Resort Hotel",1,114,2016,"July",30,21,2,3,2,0,0,"BB","Online TA","E","Transient",207,0
"Resort Hotel",1,114,2016,"July",30,21,2,3,2,0,0,"BB","Online TA","E","Transient",207,0
"Resort Hotel",1,22,2016,"July",31,29,0,2,2,0,0,"BB","Direct","F","Transient",209.1,0
"Resort Hotel",1,91,2016,"August",33,7,2,3,3,1,0,"BB","Online TA","H","Transient",273,0
"Resort Hotel",1,22,2016,"August",33,8,1,3,2,0,0,"BB","Online TA","A","Transient",231,0
"Resort Hotel",1,22,2016,"August",33,8,1,3,2,0,0,"BB","Online TA","A","Transient",219,0
"Resort Hotel",1,77,2016,"August",34,18,0,2,2,0,0,"BB","Online TA","E","Transient",214,0
"Resort Hotel",1,26,2016,"August",34,20,1,1,3,1,0,"BB","Online TA","H","Transient",304,0
"Resort Hotel",1,123,2016,"August",36,28,2,3,2,0,0,"BB","Online TA","E","Transient",189.8,0
"Resort Hotel",1,124,2016,"August",36,29,1,3,2,0,0,"BB","Online TA","E","Transient",188.5,0
"Resort Hotel",0,542,2016,"September",40,26,3,7,2,0,0,"SC","Groups","A","Transient-Party",22.4,0
"Resort Hotel",1,36,2016,"September",40,27,0,2,2,2,0,"BB","Online TA","G","Transient",169,0
"Resort Hotel",1,69,2016,"September",40,30,0,1,2,0,0,"BB","Online TA","E","Transient",139,0
"Resort Hotel",1,139,2016,"December",49,1,1,3,2,0,0,"BB","Online TA","E","Transient",55.8,0
"Resort Hotel",1,135,2016,"December",49,1,1,3,2,0,0,"BB","Online TA","E","Transient",55.8,1
"Resort Hotel",1,75,2016,"December",50,6,0,5,2,0,0,"BB","Online TA","A","Transient",37.8,0
"Resort Hotel",1,76,2016,"December",52,24,1,1,2,0,0,"BB","Direct","G","Transient",73.8,2
"Resort Hotel",1,40,2017,"February",7,12,2,3,2,0,0,"BB","Online TA","A","Transient",48,0
"Resort Hotel",1,40,2017,"February",7,12,2,3,2,0,0,"BB","Online TA","A","Transient",48,0
"Resort Hotel",1,73,2017,"February",8,19,2,1,2,0,0,"BB","Online TA","A","Transient",42,0
"Resort Hotel",1,211,2017,"March",10,9,0,1,1,0,0,"BB","Direct","A","Transient",33.3,0
"Resort Hotel",1,133,2017,"March",11,13,1,0,2,0,0,"BB","Online TA","A","Transient",42,2
"Resort Hotel",1,255,2017,"April",14,3,1,0,2,0,0,"BB","Online TA","A","Transient",54,2
"Resort Hotel",1,192,2017,"April",14,4,2,5,2,0,0,"BB","Online TA","D","Transient",68.57,1
"Resort Hotel",1,55,2017,"April",15,14,1,2,2,0,0,"BB","Online TA","A","Transient",98.33,0
"Resort Hotel",1,28,2017,"April",16,19,0,2,2,0,0,"BB","Online TA","D","Transient",100,1
"Resort Hotel",1,16,2017,"April",17,29,1,1,2,0,0,"BB","Online TA","D","Transient",111,0
"Resort Hotel",1,94,2017,"May",18,3,0,2,2,0,0,"BB","Online TA","E","Transient",115,2
"Resort Hotel",1,7,2017,"May",19,9,0,2,1,0,0,"BB","Online TA","A","Transient",85,1
"Resort Hotel",1,7,2017,"May",19,9,0,2,2,0,0,"BB","Online TA","A","Transient",85,1
"Resort Hotel",1,201,2017,"May",19,13,1,1,2,0,0,"BB","Online TA","A","Transient",76.5,1
"Resort Hotel",1,201,2017,"May",19,13,1,1,2,0,0,"BB","Online TA","A","Transient",76.5,1
"Resort Hotel",1,201,2017,"May",19,13,1,1,2,0,0,"BB","Online TA","A","Transient",76.5,1
"Resort Hotel",1,259,2017,"May",21,21,2,2,2,2,0,"BB","Online TA","G","Transient",130,0
"Resort Hotel",1,16,2017,"May",21,25,0,3,2,1,0,"BB","Direct","F","Transient",190,0
"Resort Hotel",1,2,2017,"June",22,3,1,1,2,0,0,"BB","Online TA","A","Transient",120,1
"Resort Hotel",1,12,2017,"June",24,13,0,3,2,0,0,"HB","Online TA","E","Transient",202,1
"Resort Hotel",1,175,2017,"June",24,14,0,3,2,0,0,"BB","Online TA","E","Transient",140,1
"Resort Hotel",1,77,2017,"June",24,17,2,5,2,2,0,"Undefined","Direct","G","Transient",311,2
"Resort Hotel",1,57,2017,"June",25,20,0,3,2,2,0,"HB","Online TA","G","Transient",288,0
"Resort Hotel",1,244,2017,"June",25,22,1,3,2,0,0,"HB","Online TA","A","Transient",127.8,2
"Resort Hotel",1,244,2017,"June",25,22,1,3,2,0,0,"HB","Online TA","A","Transient",127.8,2
"Resort Hotel",1,103,2017,"June",26,25,2,1,2,0,0,"BB","Direct","G","Transient",209,1
"Resort Hotel",1,116,2017,"June",26,26,1,3,2,0,0,"BB","Online TA","A","Transient",120,0
"Resort Hotel",1,59,2017,"July",26,1,2,1,2,2,0,"BB","Online TA","G","Transient",250,0
"Resort Hotel",1,171,2017,"July",27,2,2,1,2,2,0,"BB","Online TA","G","Transient",180,0
"Resort Hotel",1,133,2017,"July",27,3,1,1,2,0,0,"BB","Online TA","A","Transient",140,1
"Resort Hotel",1,135,2017,"July",28,14,1,2,2,2,0,"BB","Direct","C","Transient",198.33,2
"Resort Hotel",1,4,2017,"July",30,28,0,2,2,0,0,"BB","Online TA","A","Transient",192.5,2
"Resort Hotel",1,119,2017,"August",31,5,2,2,2,2,0,"BB","Online TA","C","Transient",269,2
"Resort Hotel",1,153,2017,"August",32,8,0,1,2,0,0,"BB","Online TA","D","Transient",220,1
"Resort Hotel",1,161,2017,"August",32,11,1,2,2,2,0,"BB","Online TA","G","Transient",300,1
"Resort Hotel",1,188,2017,"August",33,14,1,2,2,0,0,"BB","Online TA","E","Transient",204.67,1
"Resort Hotel",1,76,2017,"August",33,18,2,3,2,0,0,"BB","Direct","E","Transient",265,1
"Resort Hotel",1,160,2017,"August",33,19,2,3,2,0,0,"BB","Online TA","E","Transient",238,0
"Resort Hotel",1,160,2017,"August",33,19,2,3,2,0,0,"BB","Online TA","E","Transient",238,0
"Resort Hotel",1,17,2017,"August",34,26,1,1,2,0,0,"BB","Online TA","D","Transient",240,2
"Resort Hotel",1,51,2017,"August",35,27,2,0,2,2,0,"BB","Online TA","G","Transient",290,1
"Resort Hotel",1,51,2017,"August",35,27,2,0,2,2,0,"BB","Online TA","G","Transient",290,1
"Resort Hotel",1,74,2017,"August",35,30,0,3,2,2,0,"BB","Online TA","C","Transient",233.33,1
"Resort Hotel",0,0,2015,"July",28,5,1,0,2,2,0,"BB","Online TA","G","Group",153,0
"Resort Hotel",0,41,2015,"July",29,16,1,3,1,0,0,"BB","Online TA","D","Transient",135,0
"Resort Hotel",0,39,2015,"July",30,20,1,2,2,0,0,"BB","Online TA","D","Transient",103.95,1
"Resort Hotel",0,13,2015,"July",31,29,0,1,2,1,0,"BB","Direct","A","Transient",168,2
"Resort Hotel",0,69,2015,"August",33,9,1,0,2,0,0,"BB","Online TA","A","Transient",134,0
"Resort Hotel",0,74,2015,"August",33,9,1,0,2,0,0,"BB","Direct","A","Transient",134,0
"Resort Hotel",0,71,2015,"August",33,12,2,6,2,0,0,"HB","Direct","D","Transient",198,0
"Resort Hotel",0,49,2016,"August",36,29,2,5,2,0,0,"HB","Direct","D","Transient",218.6,0
"Resort Hotel",0,41,2015,"August",34,19,0,2,3,0,0,"BB","Online TA","A","Transient",219.3,2
"Resort Hotel",0,70,2015,"August",34,17,3,5,2,0,0,"BB","Online TA","E","Transient",119.97,1
"Resort Hotel",0,75,2015,"August",34,22,2,1,2,0,0,"BB","Offline TA/TO","D","Transient",118.13,0
"Resort Hotel",0,0,2015,"August",35,26,0,1,1,0,0,"BB","Online TA","A","Transient",153,0
"Resort Hotel",0,37,2015,"August",35,23,2,3,2,0,0,"BB","Online TA","A","Transient",132.44,2
"Resort Hotel",0,49,2015,"August",35,25,0,3,2,0,1,"HB","Offline TA/TO","E","Transient",177.47,2
"Resort Hotel",0,193,2015,"August",35,23,2,3,2,0,0,"BB","Offline TA/TO","A","Transient",103.95,1
"Resort Hotel",0,32,2015,"August",35,23,2,4,1,1,0,"BB","Online TA","E","Transient",154.71,1
"Resort Hotel",0,0,2015,"August",35,28,0,1,2,0,0,"BB","Offline TA/TO","A","Transient",153,1
"Resort Hotel",0,13,2015,"August",36,30,2,1,2,0,0,"BB","Offline TA/TO","F","Transient",120.79,0
"Resort Hotel",0,37,2015,"September",36,2,0,2,3,0,0,"BB","Online TA","G","Transient",117.81,1
"Resort Hotel",0,89,2015,"September",37,8,0,2,2,0,0,"BB","Online TA","D","Transient",97,1
"Resort Hotel",0,0,2015,"September",38,16,0,1,1,0,0,"BB","Direct","A","Group",65,0
"Resort Hotel",0,172,2015,"September",38,14,2,5,2,0,0,"HB","Offline TA/TO","A","Contract",72.25,1
"Resort Hotel",0,179,2015,"September",39,21,3,6,2,0,0,"BB","Offline TA/TO","A","Contract",60.15,0
"Resort Hotel",0,37,2015,"September",39,21,1,3,2,2,0,"BB","Direct","G","Transient",135,0
"Resort Hotel",0,81,2015,"September",39,22,0,4,2,0,0,"BB","Online TA","A","Transient",97,1
"Resort Hotel",0,38,2015,"October",40,2,4,7,2,2,0,"BB","Online TA","G","Transient",115,1
"Resort Hotel",0,1,2015,"October",42,13,0,1,2,0,0,"BB","Online TA","D","Transient",66,1
"Resort Hotel",0,130,2015,"October",42,16,0,2,2,0,0,"BB","Online TA","F","Transient",92.4,0
"Resort Hotel",0,0,2015,"October",43,21,0,2,1,0,0,"BB","Online TA","G","Transient",106,0
"Resort Hotel",0,109,2015,"November",46,13,0,1,2,0,0,"BB","Direct","F","Transient",74.8,2
"Resort Hotel",0,36,2015,"November",45,7,2,6,1,0,0,"BB","Corporate","A","Transient-Party",36,0
"Resort Hotel",0,12,2015,"November",45,3,3,10,2,0,0,"BB","Corporate","A","Transient-Party",48,0
"Resort Hotel",0,5,2015,"November",48,22,2,0,1,0,0,"BB","Online TA","A","Transient",40,1
"Resort Hotel",0,0,2015,"December",53,27,1,0,2,0,0,"BB","Direct","E","Transient",71,0
"Resort Hotel",0,58,2015,"December",52,23,2,4,2,0,0,"BB","Direct","E","Transient",58,1
"Resort Hotel",0,0,2015,"December",53,28,1,0,2,0,0,"BB","Direct","A","Transient",75,0
"Resort Hotel",0,29,2015,"December",52,23,2,5,2,0,0,"BB","Offline TA/TO","D","Transient",71,1
"Resort Hotel",0,2,2015,"December",53,31,0,3,2,0,0,"BB","Online TA","A","Transient",72.93,0
"Resort Hotel",0,17,2016,"January",1,2,2,1,2,0,0,"BB","Online TA","E","Transient",57.2,1
"Resort Hotel",0,0,2016,"January",2,8,0,1,2,0,0,"BB","Offline TA/TO","A","Transient",31.2,0
"Resort Hotel",0,0,2016,"January",2,4,2,5,2,0,0,"BB","Direct","A","Transient",48,0
"Resort Hotel",0,11,2016,"January",2,8,1,2,2,0,0,"BB","Online TA","E","Transient",69.2,1
"Resort Hotel",0,3,2016,"January",2,8,1,2,2,0,0,"BB","Online TA","E","Transient",52.8,0
"Resort Hotel",0,0,2016,"January",2,7,2,4,2,0,0,"BB","Offline TA/TO","A","Transient",38,0
"Resort Hotel",0,1,2016,"January",4,22,0,2,2,0,0,"BB","Direct","A","Transient",45,0
"Resort Hotel",0,0,2016,"February",6,3,1,4,2,0,0,"BB","Online TA","A","Transient",39,2
"Resort Hotel",0,0,2016,"February",7,12,0,1,2,0,0,"BB","Online TA","A","Transient",58,0
"Resort Hotel",0,0,2016,"February",8,20,0,1,2,0,0,"BB","Direct","D","Transient",46,0
"Resort Hotel",0,24,2016,"February",9,22,1,1,2,0,0,"BB","Online TA","A","Transient",36.96,2
"Resort Hotel",0,24,2016,"February",9,22,1,1,2,0,0,"BB","Online TA","A","Transient",36.96,2
"Resort Hotel",0,4,2016,"March",13,20,2,1,2,0,0,"BB","Offline TA/TO","D","Transient",43,0
"Resort Hotel",0,6,2016,"March",14,28,1,3,2,0,0,"HB","Online TA","E","Transient",97.5,0
"Resort Hotel",0,2,2016,"April",15,4,1,1,2,0,0,"BB","Online TA","E","Transient",87,1
"Resort Hotel",0,1,2016,"April",15,6,0,2,2,0,0,"BB","Direct","E","Transient",85,1
"Resort Hotel",0,19,2016,"April",15,7,1,3,2,0,0,"BB","Direct","F","Transient",101,0
"Resort Hotel",0,26,2016,"April",15,9,2,2,3,1,0,"BB","Direct","H","Transient",146.38,1
"Resort Hotel",0,27,2016,"April",16,10,2,2,3,1,0,"BB","Direct","G","Transient",136,0
"Resort Hotel",0,8,2016,"April",16,14,0,1,1,0,0,"BB","Online TA","G","Transient",96.25,0
"Resort Hotel",0,79,2016,"April",17,22,1,2,2,0,0,"BB","Direct","G","Transient",117,0
"Resort Hotel",0,79,2016,"April",17,22,1,2,2,0,0,"BB","Direct","F","Transient",102,0
"Resort Hotel",0,9,2016,"April",18,25,1,1,2,0,0,"BB","Online TA","A","Transient",50.05,1
"Resort Hotel",0,113,2016,"April",18,26,0,2,1,0,0,"BB","Online TA","G","Transient",78.31,1
"Resort Hotel",0,113,2016,"April",18,26,0,2,2,0,0,"BB","Online TA","G","Transient",78.31,1
"Resort Hotel",0,179,2016,"April",18,27,0,2,2,0,0,"BB","Online TA","A","Transient",52.2,1
"Resort Hotel",0,179,2016,"April",18,27,0,2,2,0,0,"BB","Online TA","A","Transient",58.2,1
"Resort Hotel",0,1,2016,"April",18,27,0,3,1,0,0,"BB","Online TA","E","Transient",91,1
"Resort Hotel",0,33,2016,"April",18,25,1,4,1,0,0,"BB","Offline TA/TO","A","Transient",37.1,0
"Resort Hotel",0,0,2016,"April",18,30,0,1,2,0,0,"BB","Online TA","E","Transient",85,0
"Resort Hotel",0,0,2016,"May",19,1,1,0,2,0,0,"BB","Online TA","F","Transient",115,1
"Resort Hotel",0,13,2016,"May",19,1,2,0,2,0,0,"BB","Online TA","D","Transient",72,0
"Resort Hotel",0,67,2016,"May",19,6,2,4,2,0,0,"BB","Online TA","D","Transient",75.83,1
"Resort Hotel",0,77,2016,"May",20,10,0,5,2,0,0,"HB","Online TA","F","Transient",34,1
"Resort Hotel",0,68,2016,"May",21,20,1,2,2,0,0,"BB","Online TA","A","Transient",56,0
"Resort Hotel",0,129,2016,"May",22,22,2,1,2,0,0,"BB","Online TA","D","Transient",65.7,2
"Resort Hotel",0,40,2016,"May",22,23,1,1,2,0,0,"BB","Online TA","E","Transient",111,2
"Resort Hotel",0,129,2016,"May",22,22,2,1,2,0,0,"BB","Online TA","D","Transient",71.7,2
"Resort Hotel",0,49,2016,"May",22,25,0,1,2,0,0,"BB","Offline TA/TO","F","Transient-Party",105,1
"Resort Hotel",0,49,2016,"May",22,25,0,1,2,0,0,"BB","Offline TA/TO","F","Transient-Party",105,1
"Resort Hotel",0,39,2016,"May",22,28,1,1,2,0,0,"BB","Online TA","F","Transient",121,1
"Resort Hotel",0,5,2016,"May",22,28,1,1,2,2,0,"BB","Online TA","G","Transient",145,0
"Resort Hotel",0,136,2016,"May",23,29,2,0,2,0,0,"BB","Direct","D","Transient",68,0
"Resort Hotel",0,59,2016,"May",23,29,2,0,3,0,0,"BB","Direct","G","Transient",145,0
"Resort Hotel",0,65,2016,"May",23,30,1,1,2,0,0,"BB","Online TA","E","Transient",95,0
"Resort Hotel",0,1,2016,"June",23,2,0,2,1,0,0,"BB","Direct","F","Transient",161,0
"Resort Hotel",0,2,2016,"June",23,4,0,1,2,0,0,"BB","Direct","D","Group",124,0
"Resort Hotel",0,34,2016,"June",23,2,0,3,2,0,0,"BB","Direct","F","Transient",168.33,0
"Resort Hotel",0,34,2016,"June",23,2,0,3,2,0,0,"BB","Direct","F","Transient",157,0
"Resort Hotel",0,129,2016,"June",24,5,2,1,2,0,0,"BB","Online TA","A","Transient",61.6,2
"Resort Hotel",0,124,2016,"June",24,6,1,1,3,0,0,"BB","Direct","C","Transient",135,2
"Resort Hotel",0,124,2016,"June",24,6,1,1,3,0,0,"BB","Direct","C","Transient",135,2
"Resort Hotel",0,0,2016,"June",23,4,2,3,2,0,0,"BB","Online TA","F","Transient",120,0
"Resort Hotel",0,0,2016,"June",25,13,1,0,1,0,0,"BB","Online TA","A","Transient",109,0
"Resort Hotel",0,0,2016,"June",25,13,1,0,2,0,0,"BB","Direct","F","Transient",159,0
"Resort Hotel",0,74,2016,"June",25,13,1,1,2,0,0,"BB","Online TA","G","Transient",149.52,1
"Resort Hotel",0,56,2016,"June",25,13,1,1,3,0,0,"BB","Online TA","A","Transient",164,1
"Resort Hotel",0,56,2016,"June",25,13,1,1,2,0,0,"BB","Online TA","A","Transient",129,1
"Resort Hotel",0,160,2016,"June",25,13,2,5,2,0,0,"HB","Direct","D","Transient",118.5,2
"Resort Hotel",0,5,2016,"June",26,20,1,2,2,0,0,"BB","Direct","F","Transient",184.33,2
"Resort Hotel",0,161,2016,"June",25,15,2,4,2,0,0,"BB","Online TA","E","Transient",116.5,3
"Resort Hotel",0,57,2016,"June",25,17,2,2,2,1,0,"BB","Direct","A","Transient",121,1
"Resort Hotel",0,57,2016,"June",25,17,2,2,2,0,0,"BB","Direct","A","Transient",98.75,1
"Resort Hotel",0,48,2016,"June",26,20,1,1,2,2,0,"BB","Online TA","G","Transient-Party",189,0
"Resort Hotel",0,48,2016,"June",26,20,1,1,2,2,0,"BB","Online TA","G","Transient-Party",201,0
"Resort Hotel",0,0,2016,"June",26,22,0,1,2,0,0,"BB","Direct","E","Transient",139,0
"Resort Hotel",0,8,2016,"June",26,23,0,2,2,3,0,"BB","Direct","H","Transient",186,0
"Resort Hotel",0,3,2016,"June",26,25,0,1,2,0,0,"BB","Online TA","A","Transient",98.4,0
"Resort Hotel",0,25,2016,"June",26,25,1,1,2,0,0,"BB","Online TA","F","Transient",130.13,1
"Resort Hotel",0,170,2016,"July",27,2,0,1,2,0,0,"BB","Online TA","A","Transient",107.1,2
"Resort Hotel",0,170,2016,"July",27,2,0,1,2,0,0,"BB","Online TA","A","Transient",119.1,2
"Resort Hotel",0,0,2016,"July",28,3,1,0,2,0,0,"BB","Online TA","A","Transient",95.64,0
"Resort Hotel",0,25,2016,"July",28,3,1,0,2,0,0,"BB","Online TA","A","Transient",131,1
"Resort Hotel",0,29,2016,"July",28,5,0,1,2,0,0,"BB","Online TA","C","Transient",150.92,1
"Resort Hotel",0,8,2016,"July",28,5,0,2,3,1,0,"BB","Online TA","G","Transient-Party",219,0
"Resort Hotel",0,8,2016,"July",28,5,0,2,2,2,0,"BB","Online TA","H","Transient-Party",224,0
"Resort Hotel",0,61,2016,"July",28,5,0,2,2,2,0,"BB","Direct","C","Transient",190,1
"Resort Hotel",0,61,2016,"July",28,5,0,2,2,0,0,"BB","Direct","F","Transient",192,1
"Resort Hotel",0,14,2016,"July",28,7,0,2,2,0,0,"BB","Online TA","A","Transient",134.43,1
"Resort Hotel",0,30,2016,"July",28,7,0,3,1,0,0,"BB","Online TA","E","Transient",146.3,1
"Resort Hotel",0,0,2016,"July",29,13,0,1,2,0,0,"BB","Direct","D","Transient",161,0
"Resort Hotel",0,2,2016,"July",29,14,0,1,2,0,0,"BB","Direct","A","Transient",161,0
"Resort Hotel",0,38,2016,"July",29,12,0,3,2,0,0,"BB","Direct","F","Transient",212,1
"Resort Hotel",0,0,2016,"July",29,15,0,1,2,0,0,"BB","Online TA","A","Transient",151,0
"Resort Hotel",0,25,2016,"July",29,15,0,1,2,0,0,"BB","Direct","A","Transient",155.1,0
"Resort Hotel",0,22,2016,"July",29,14,1,3,2,2,0,"BB","Direct","C","Transient",186.5,0
"Resort Hotel",0,14,2016,"July",30,18,1,1,2,0,0,"BB","Online TA","D","Transient",167.21,0
"Resort Hotel",0,97,2016,"July",30,21,0,1,2,0,0,"BB","Online TA","E","Transient",230,2
"Resort Hotel",0,94,2016,"July",30,20,0,2,2,0,0,"BB","Online TA","A","Transient",160,1
"Resort Hotel",0,130,2016,"July",31,25,1,2,4,0,0,"BB","Online TA","A","Transient",208,0
"Resort Hotel",0,61,2016,"July",31,26,0,2,2,0,0,"BB","Online TA","F","Transient",157.85,1
"Resort Hotel",0,92,2016,"July",31,26,0,4,2,0,0,"BB","Online TA","D","Transient",213.75,1
"Resort Hotel",0,1,2016,"July",31,30,0,1,2,0,0,"BB","Direct","D","Transient",221,1
"Resort Hotel",0,38,2016,"July",31,28,0,2,2,0,0,"BB","Online TA","D","Transient",194,1
"Resort Hotel",0,1,2016,"July",31,30,0,1,2,0,0,"BB","Direct","D","Transient",194,1
"Resort Hotel",0,0,2016,"July",32,31,2,2,2,0,0,"BB","Direct","F","Transient",237.75,1
"Resort Hotel",0,7,2016,"July",31,29,0,2,2,0,0,"BB","Direct","F","Transient",221.1,0
"Resort Hotel",0,0,2016,"July",31,26,1,5,2,0,0,"BB","Direct","A","Transient",180,0
"Resort Hotel",0,27,2016,"July",31,29,2,2,2,2,0,"BB","Online TA","G","Transient",264,0
"Resort Hotel",0,0,2016,"August",32,1,1,0,2,0,0,"BB","Online TA","A","Transient",102.49,0
"Resort Hotel",0,113,2016,"July",31,26,2,5,2,0,0,"BB","Direct","E","Transient",193.8,2
"Resort Hotel",0,113,2016,"July",31,26,2,5,2,0,0,"BB","Direct","E","Transient",181.8,2
"Resort Hotel",0,23,2016,"August",32,6,2,2,3,0,0,"BB","Online TA","A","Transient",268,3
"Resort Hotel",0,151,2016,"August",33,8,1,2,2,0,0,"BB","Online TA","G","Transient",204.5,0
"Resort Hotel",0,151,2016,"August",33,8,1,2,2,0,0,"BB","Online TA","A","Transient",132.9,2
"Resort Hotel",0,22,2016,"August",33,12,0,1,1,0,0,"BB","Online TA","E","Transient",195.58,1
"Resort Hotel",0,37,2016,"August",33,10,0,3,3,0,0,"BB","Online TA","A","Transient",187.88,1
"Resort Hotel",0,32,2016,"August",33,12,0,2,1,0,0,"BB","Online TA","E","Transient",254,1
"Resort Hotel",0,12,2016,"August",34,16,0,2,2,0,0,"BB","Online TA","A","Transient",221,0
"Resort Hotel",0,0,2016,"August",35,23,0,1,2,0,0,"BB","Online TA","A","Transient",167.09,0
"Resort Hotel",0,217,2016,"August",35,22,1,2,2,2,0,"BB","Online TA","C","Transient",174,1
"Resort Hotel",0,25,2016,"August",35,24,0,2,2,2,0,"BB","Online TA","G","Transient",311,1
"Resort Hotel",0,69,2016,"August",35,25,0,2,2,0,0,"BB","Online TA","A","Transient",145.53,1
"Resort Hotel",0,18,2016,"August",35,26,0,2,2,0,0,"BB","Online TA","D","Transient",153.37,1
"Resort Hotel",0,15,2016,"August",35,27,1,1,2,0,0,"BB","Online TA","D","Transient",171.47,1
"Resort Hotel",0,95,2016,"August",36,30,0,3,2,0,0,"BB","Direct","F","Transient",195.67,0
"Resort Hotel",0,219,2016,"August",36,29,1,3,2,0,0,"BB","Offline TA/TO","A","Transient",93,0
"Resort Hotel",0,219,2016,"August",36,29,1,3,2,0,0,"BB","Offline TA/TO","A","Transient",81,0
"Resort Hotel",0,219,2016,"August",36,29,1,3,2,0,0,"BB","Offline TA/TO","A","Transient",64.8,1
"Resort Hotel",0,1,2016,"September",36,2,0,1,2,0,0,"BB","Online TA","A","Transient",161,1
